FirstName,LastName,OU,Username,Password,Email,StreetAddress,City,ZipCode,State,Country,Department,Telephone,JobTitle,College
 Mark,Andrews,"OU=Ravens,DC=12sphere,DC=org",mark.andrews,Sharks2424!,mark.andrews@12sphere.org,1101 Russell St,Baltimore,21230,MD,USA,Offense,89,TE,Oklahoma
 Jalyn,Armour-Davis,"OU=Ravens,DC=12sphere,DC=org",jalyn.armour-davis,Sharks2424!,jalyn.armour-davis@12sphere.org,1102 Russell St,Baltimore,21231,MD,,Defense,5,CB,Alabama
 Rashod,Bateman,"OU=Ravens,DC=12sphere,DC=org",rashod.bateman,Sharks2424!,rashod.bateman@12sphere.org,1103 Russell St,Baltimore,21232,MD,,Offense,7,WR,Minnesota
 Nick,Boyle,"OU=Ravens,DC=12sphere,DC=org",nick.boyle,Sharks2424!,nick.boyle@12sphere.org,1104 Russell St,Baltimore,21233,MD,,Offense,86,TE,Delaware
 Josh,Bynes,"OU=Ravens,DC=12sphere,DC=org",josh.bynes,Sharks2424!,josh.bynes@12sphere.org,1105 Russell St,Baltimore,21234,MD,,Defense,56,ILB,Auburn
 Calais,Campbell,"OU=Ravens,DC=12sphere,DC=org",calais.campbell,Sharks2424!,calais.campbell@12sphere.org,1106 Russell St,Baltimore,21235,MD,,Defense,93,DT,Miami
 Chuck,Clark,"OU=Ravens,DC=12sphere,DC=org",chuck.clark,Sharks2424!,chuck.clark@12sphere.org,1107 Russell St,Baltimore,21236,MD,,Defense,36,SS,Virginia Tech
 Ben,Cleveland,"OU=Ravens,DC=12sphere,DC=org",ben.cleveland,Sharks2424!,ben.cleveland@12sphere.org,1108 Russell St,Baltimore,21237,MD,,Offense,66,OG,Georgia
 Trystan,Colon,"OU=Ravens,DC=12sphere,DC=org",trystan.colon,Sharks2424!,trystan.colon@12sphere.org,1109 Russell St,Baltimore,21238,MD,,Offense,63,OC/OG,Missouri
 Brandon,Copeland,"OU=Ravens,DC=12sphere,DC=org",brandon.copeland,Sharks2424!,brandon.copeland@12sphere.org,1110 Russell St,Baltimore,21239,MD,,Defense,49,OLB,Pennsylvania
 Mike,Davis,"OU=Ravens,DC=12sphere,DC=org",mike.davis,Sharks2424!,mike.davis@12sphere.org,1111 Russell St,Baltimore,21240,MD,,Offense,28,RB,South Carolina
 J.K.,Dobbins,"OU=Ravens,DC=12sphere,DC=org",j.k..dobbins,Sharks2424!,j.k..dobbins@12sphere.org,1112 Russell St,Baltimore,21241,MD,,Offense,27,RB,Ohio State
 Kenyan,Drake,"OU=Ravens,DC=12sphere,DC=org",kenyan.drake,Sharks2424!,kenyan.drake@12sphere.org,1113 Russell St,Baltimore,21242,MD,,Offense,17,RB,Alabama
 Devin,Duvernay,"OU=Ravens,DC=12sphere,DC=org",devin.duvernay,Sharks2424!,devin.duvernay@12sphere.org,1114 Russell St,Baltimore,21243,MD,,Offense,13,WR,Texas
 Daniel,Faalele,"OU=Ravens,DC=12sphere,DC=org",daniel.faalele,Sharks2424!,daniel.faalele@12sphere.org,1115 Russell St,Baltimore,21244,MD,,Offense,77,OT,Minnesota
 Kyle,Hamilton,"OU=Ravens,DC=12sphere,DC=org",kyle.hamilton,Sharks2424!,kyle.hamilton@12sphere.org,1116 Russell St,Baltimore,21245,MD,,Defense,14,S,Notre Dame
 Malik,Harrison,"OU=Ravens,DC=12sphere,DC=org",malik.harrison,Sharks2424!,malik.harrison@12sphere.org,1117 Russell St,Baltimore,21246,MD,,Defense,40,OLB,Ohio State
 Justice,Hill,"OU=Ravens,DC=12sphere,DC=org",justice.hill,Sharks2424!,justice.hill@12sphere.org,1118 Russell St,Baltimore,21247,MD,,Offense,43,RB,Oklahoma State
 Justin,Houston,"OU=Ravens,DC=12sphere,DC=org",justin.houston,Sharks2424!,justin.houston@12sphere.org,1119 Russell St,Baltimore,21248,MD,,Defense,50,OLB,Georgia
 Marlon,Humphrey,"OU=Ravens,DC=12sphere,DC=org",marlon.humphrey,Sharks2424!,marlon.humphrey@12sphere.org,1120 Russell St,Baltimore,21249,MD,,Defense,44,CB,Alabama
 Tyler,Huntley,"OU=Ravens,DC=12sphere,DC=org",tyler.huntley,Sharks2424!,tyler.huntley@12sphere.org,1121 Russell St,Baltimore,21250,MD,,Offense,2,QB,Utah
 Lamar,Jackson,"OU=Ravens,DC=12sphere,DC=org",lamar.jackson,Sharks2424!,lamar.jackson@12sphere.org,1122 Russell St,Baltimore,21251,MD,,Offense,8,QB,Louisville
 Travis,Jones,"OU=Ravens,DC=12sphere,DC=org",travis.jones,Sharks2424!,travis.jones@12sphere.org,1123 Russell St,Baltimore,21252,MD,,Defense,98,DT,Connecticut
 Isaiah,Likely,"OU=Ravens,DC=12sphere,DC=org",isaiah.likely,Sharks2424!,isaiah.likely@12sphere.org,1124 Russell St,Baltimore,21253,MD,,Offense,80,TE,Coastal Carolina
 Tyler,Linderbaum,"OU=Ravens,DC=12sphere,DC=org",tyler.linderbaum,Sharks2424!,tyler.linderbaum@12sphere.org,1125 Russell St,Baltimore,21254,MD,,Offense,64,OC,Iowa
 Justin,Madubuike,"OU=Ravens,DC=12sphere,DC=org",justin.madubuike,Sharks2424!,justin.madubuike@12sphere.org,1126 Russell St,Baltimore,21255,MD,,Defense,92,DT,Texas A&M
 Patrick,Mekari,"OU=Ravens,DC=12sphere,DC=org",patrick.mekari,Sharks2424!,patrick.mekari@12sphere.org,1127 Russell St,Baltimore,21256,MD,,Offense,65,OL,California
 Nick,Moore,"OU=Ravens,DC=12sphere,DC=org",nick.moore,Sharks2424!,nick.moore@12sphere.org,1128 Russell St,Baltimore,21257,MD,,Special Teams,46,LS,Georgia
 Morgan,Moses,"OU=Ravens,DC=12sphere,DC=org",morgan.moses,Sharks2424!,morgan.moses@12sphere.org,1129 Russell St,Baltimore,21258,MD,,Offense,78,OT,Virginia
 Josh,Oliver,"OU=Ravens,DC=12sphere,DC=org",josh.oliver,Sharks2424!,josh.oliver@12sphere.org,1130 Russell St,Baltimore,21259,MD,,Offense,84,TE,San Jose State
 Odafe,Oweh,"OU=Ravens,DC=12sphere,DC=org",odafe.oweh,Sharks2424!,odafe.oweh@12sphere.org,1131 Russell St,Baltimore,21260,MD,,Defense,99,OLB,Penn State
 Marcus,Peters,"OU=Ravens,DC=12sphere,DC=org",marcus.peters,Sharks2424!,marcus.peters@12sphere.org,1132 Russell St,Baltimore,21261,MD,,Defense,24,CB,Washington
 Del'Shawn,Phillips,"OU=Ravens,DC=12sphere,DC=org",del'shawn.phillips,Sharks2424!,del'shawn.phillips@12sphere.org,1133 Russell St,Baltimore,21262,MD,,Defense,53,ILB,Illinois
 Michael,Pierce,"OU=Ravens,DC=12sphere,DC=org",michael.pierce,Sharks2424!,michael.pierce@12sphere.org,1134 Russell St,Baltimore,21263,MD,,Defense,58,NT,Samford
 Jason,Pierre-Paul,"OU=Ravens,DC=12sphere,DC=org",jason.pierre-paul,Sharks2424!,jason.pierre-paul@12sphere.org,1135 Russell St,Baltimore,21264,MD,,Defense,0,OLB,South Florida
 Ben,Powers,"OU=Ravens,DC=12sphere,DC=org",ben.powers,Sharks2424!,ben.powers@12sphere.org,1136 Russell St,Baltimore,21265,MD,,Offense,72,OG,Oklahoma
 James,Proche II,"OU=Ravens,DC=12sphere,DC=org",james.proche ii,Sharks2424!,james.proche ii@12sphere.org,1137 Russell St,Baltimore,21266,MD,,Offense,3,WR,SMU
 Patrick,Queen,"OU=Ravens,DC=12sphere,DC=org",patrick.queen,Sharks2424!,patrick.queen@12sphere.org,1138 Russell St,Baltimore,21267,MD,,Defense,6,ILB,LSU
 Patrick,Ricard,"OU=Ravens,DC=12sphere,DC=org",patrick.ricard,Sharks2424!,patrick.ricard@12sphere.org,1139 Russell St,Baltimore,21268,MD,,Offense,42,FB,Maine
 Demarcus,Robinson,"OU=Ravens,DC=12sphere,DC=org",demarcus.robinson,Sharks2424!,demarcus.robinson@12sphere.org,1140 Russell St,Baltimore,21269,MD,,Offense,10,WR,Florida
 Ronnie,Stanley,"OU=Ravens,DC=12sphere,DC=org",ronnie.stanley,Sharks2424!,ronnie.stanley@12sphere.org,1141 Russell St,Baltimore,21270,MD,,Offense,79,OT,Notre Dame
 Brandon,Stephens,"OU=Ravens,DC=12sphere,DC=org",brandon.stephens,Sharks2424!,brandon.stephens@12sphere.org,1142 Russell St,Baltimore,21271,MD,,Defense,21,CB,SMU
 Geno,Stone,"OU=Ravens,DC=12sphere,DC=org",geno.stone,Sharks2424!,geno.stone@12sphere.org,1143 Russell St,Baltimore,21272,MD,,Defense,26,S,Iowa
 Jordan,Stout,"OU=Ravens,DC=12sphere,DC=org",jordan.stout,Sharks2424!,jordan.stout@12sphere.org,1144 Russell St,Baltimore,21273,MD,,Special Teams,11,PT,Penn State
 Justin,Tucker,"OU=Ravens,DC=12sphere,DC=org",justin.tucker,Sharks2424!,justin.tucker@12sphere.org,1145 Russell St,Baltimore,21274,MD,,Special Teams,9,PK,Texas
 Brent,Urban,"OU=Ravens,DC=12sphere,DC=org",brent.urban,Sharks2424!,brent.urban@12sphere.org,1146 Russell St,Baltimore,21275,MD,,Defense,97,DE,Virginia
 Tylan,Wallace,"OU=Ravens,DC=12sphere,DC=org",tylan.wallace,Sharks2424!,tylan.wallace@12sphere.org,1147 Russell St,Baltimore,21276,MD,,Offense,16,WR,Oklahoma State
 Broderick,Washington,"OU=Ravens,DC=12sphere,DC=org",broderick.washington,Sharks2424!,broderick.washington@12sphere.org,1148 Russell St,Baltimore,21277,MD,,Defense,96,DT,Texas Tech
 Raleigh,Webb,"OU=Ravens,DC=12sphere,DC=org",raleigh.webb,Sharks2424!,raleigh.webb@12sphere.org,1149 Russell St,Baltimore,21278,MD,,Offense,87,WR,Citadel
 Kristian,Welch,"OU=Ravens,DC=12sphere,DC=org",kristian.welch,Sharks2424!,kristian.welch@12sphere.org,1150 Russell St,Baltimore,21279,MD,,Defense,57,ILB,Iowa
 Damarion,Williams,"OU=Ravens,DC=12sphere,DC=org",damarion.williams,Sharks2424!,damarion.williams@12sphere.org,1151 Russell St,Baltimore,21280,MD,,Defense,22,CB,Houston
 Marcus,Williams,"OU=Ravens,DC=12sphere,DC=org",marcus.williams,Sharks2424!,marcus.williams@12sphere.org,1152 Russell St,Baltimore,21281,MD,,Defense,32,FS,Utah
